Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
oversized-heavy-tee,Oversized Heavy Tee,"<p>Dropped shoulder, boxy body, ribbed collar that holds its shape.</p><ul><li>240 GSM combed cotton, single jersey</li><li>Dropped shoulder, boxy fit — size down for a regular fit</li><li>Ribbed collar with twin-needle topstitch</li><li>Bar-tacked at both side seams</li><li>Sanforised: less than 3% residual shrinkage</li></ul><p>Machine wash cold, inside out. Tumble dry low. Do not iron the print.</p>",NAKSHA,Tees,"Tees, Drop 01, 240 GSM",TRUE,Color,Bone,Size,S,NK-OHT-BONE-S,shopify,0,deny,manual,1499,TRUE,TRUE,active
oversized-heavy-tee,,,,,,,Color,Bone,Size,M,NK-OHT-BONE-M,shopify,25,deny,manual,1499,TRUE,TRUE,
oversized-heavy-tee,,,,,,,Color,Bone,Size,L,NK-OHT-BONE-L,shopify,25,deny,manual,1499,TRUE,TRUE,
oversized-heavy-tee,,,,,,,Color,Bone,Size,XL,NK-OHT-BONE-XL,shopify,25,deny,manual,1499,TRUE,TRUE,
oversized-heavy-tee,,,,,,,Color,Bone,Size,XXL,NK-OHT-BONE-XXL,shopify,25,deny,manual,1499,TRUE,TRUE,
oversized-heavy-tee,,,,,,,Color,Coal,Size,S,NK-OHT-COAL-S,shopify,0,deny,manual,1499,TRUE,TRUE,
oversized-heavy-tee,,,,,,,Color,Coal,Size,M,NK-OHT-COAL-M,shopify,25,deny,manual,1499,TRUE,TRUE,
oversized-heavy-tee,,,,,,,Color,Coal,Size,L,NK-OHT-COAL-L,shopify,25,deny,manual,1499,TRUE,TRUE,
oversized-heavy-tee,,,,,,,Color,Coal,Size,XL,NK-OHT-COAL-XL,shopify,25,deny,manual,1499,TRUE,TRUE,
oversized-heavy-tee,,,,,,,Color,Coal,Size,XXL,NK-OHT-COAL-XXL,shopify,25,deny,manual,1499,TRUE,TRUE,
oversized-heavy-tee,,,,,,,Color,Cobalt,Size,S,NK-OHT-COBA-S,shopify,0,deny,manual,1499,TRUE,TRUE,
oversized-heavy-tee,,,,,,,Color,Cobalt,Size,M,NK-OHT-COBA-M,shopify,25,deny,manual,1499,TRUE,TRUE,
oversized-heavy-tee,,,,,,,Color,Cobalt,Size,L,NK-OHT-COBA-L,shopify,25,deny,manual,1499,TRUE,TRUE,
oversized-heavy-tee,,,,,,,Color,Cobalt,Size,XL,NK-OHT-COBA-XL,shopify,25,deny,manual,1499,TRUE,TRUE,
oversized-heavy-tee,,,,,,,Color,Cobalt,Size,XXL,NK-OHT-COBA-XXL,shopify,25,deny,manual,1499,TRUE,TRUE,
washed-boxy-tee,Washed Boxy Tee,"<p>Garment-dyed and enzyme-washed, so it arrives already broken in.</p><ul><li>240 GSM combed cotton, garment-dyed</li><li>Enzyme wash for a lived-in hand feel</li><li>Boxy body, straight hem</li><li>Colour settles by 5–8% after the first wash — this is intended</li></ul><p>Wash separately for the first two washes. Cold water only.</p>",NAKSHA,Tees,"Tees, Drop 01, 240 GSM",TRUE,Color,Faded Black,Size,S,NK-WBT-FADE-S,shopify,25,deny,manual,1699,TRUE,TRUE,active
washed-boxy-tee,,,,,,,Color,Faded Black,Size,M,NK-WBT-FADE-M,shopify,25,deny,manual,1699,TRUE,TRUE,
washed-boxy-tee,,,,,,,Color,Faded Black,Size,L,NK-WBT-FADE-L,shopify,25,deny,manual,1699,TRUE,TRUE,
washed-boxy-tee,,,,,,,Color,Faded Black,Size,XL,NK-WBT-FADE-XL,shopify,25,deny,manual,1699,TRUE,TRUE,
washed-boxy-tee,,,,,,,Color,Faded Black,Size,XXL,NK-WBT-FADE-XXL,shopify,25,deny,manual,1699,TRUE,TRUE,
washed-boxy-tee,,,,,,,Color,Sand,Size,S,NK-WBT-SAND-S,shopify,25,deny,manual,1699,TRUE,TRUE,
washed-boxy-tee,,,,,,,Color,Sand,Size,M,NK-WBT-SAND-M,shopify,25,deny,manual,1699,TRUE,TRUE,
washed-boxy-tee,,,,,,,Color,Sand,Size,L,NK-WBT-SAND-L,shopify,25,deny,manual,1699,TRUE,TRUE,
washed-boxy-tee,,,,,,,Color,Sand,Size,XL,NK-WBT-SAND-XL,shopify,25,deny,manual,1699,TRUE,TRUE,
washed-boxy-tee,,,,,,,Color,Sand,Size,XXL,NK-WBT-SAND-XXL,shopify,25,deny,manual,1699,TRUE,TRUE,
utility-hoodie,Utility Hoodie,"<p>400 GSM brushed fleece, two-panel hood, kangaroo pocket with a hidden divider.</p><ul><li>400 GSM brushed-back cotton fleece</li><li>Two-panel hood, flat drawcord with metal tips</li><li>Kangaroo pocket, internally divided</li><li>Ribbed cuffs and hem, 5% elastane</li></ul><p>Machine wash cold. Do not bleach. Dry flat in shade.</p>",NAKSHA,Hoodies,"Hoodies, Drop 01, 400 GSM",TRUE,Color,Coal,Size,S,NK-UH-COAL-S,shopify,25,deny,manual,3299,TRUE,TRUE,active
utility-hoodie,,,,,,,Color,Coal,Size,M,NK-UH-COAL-M,shopify,25,deny,manual,3299,TRUE,TRUE,
utility-hoodie,,,,,,,Color,Coal,Size,L,NK-UH-COAL-L,shopify,25,deny,manual,3299,TRUE,TRUE,
utility-hoodie,,,,,,,Color,Coal,Size,XL,NK-UH-COAL-XL,shopify,25,deny,manual,3299,TRUE,TRUE,
utility-hoodie,,,,,,,Color,Coal,Size,XXL,NK-UH-COAL-XXL,shopify,0,deny,manual,3299,TRUE,TRUE,
utility-hoodie,,,,,,,Color,Ash,Size,S,NK-UH-ASH-S,shopify,25,deny,manual,3299,TRUE,TRUE,
utility-hoodie,,,,,,,Color,Ash,Size,M,NK-UH-ASH-M,shopify,25,deny,manual,3299,TRUE,TRUE,
utility-hoodie,,,,,,,Color,Ash,Size,L,NK-UH-ASH-L,shopify,25,deny,manual,3299,TRUE,TRUE,
utility-hoodie,,,,,,,Color,Ash,Size,XL,NK-UH-ASH-XL,shopify,25,deny,manual,3299,TRUE,TRUE,
utility-hoodie,,,,,,,Color,Ash,Size,XXL,NK-UH-ASH-XXL,shopify,0,deny,manual,3299,TRUE,TRUE,
wide-leg-trouser,Wide-Leg Trouser,"<p>Single-pleat, wide through the thigh, breaks clean at the ankle.</p><ul><li>280 GSM cotton twill, mid-weight</li><li>Single forward pleat, no-roll waistband</li><li>Deep slash pockets, one welt pocket at the back</li><li>Unfinished inseam — 2 inches of length to alter</li></ul><p>Machine wash cold. Warm iron on the reverse.</p>",NAKSHA,Trousers,"Trousers, Drop 01, 280 GSM",TRUE,Color,Coal,Size,28,NK-WLT-COAL-28,shopify,25,deny,manual,2899,TRUE,TRUE,active
wide-leg-trouser,,,,,,,Color,Coal,Size,30,NK-WLT-COAL-30,shopify,25,deny,manual,2899,TRUE,TRUE,
wide-leg-trouser,,,,,,,Color,Coal,Size,32,NK-WLT-COAL-32,shopify,25,deny,manual,2899,TRUE,TRUE,
wide-leg-trouser,,,,,,,Color,Coal,Size,34,NK-WLT-COAL-34,shopify,25,deny,manual,2899,TRUE,TRUE,
wide-leg-trouser,,,,,,,Color,Coal,Size,36,NK-WLT-COAL-36,shopify,25,deny,manual,2899,TRUE,TRUE,
